intervention_catalogue_id, course_id, status
8380e2d6-ba49-4309-8be7-cc83bf87f372, 2be8daf4-f23c-43bc-9e3c-884878eba285,
81ea44b3-1808-4f65-94c2-a4bfa3137162, b4af1bbc-1b30-434a-8edc-ae4880c05def,
86e7b330-eab8-4882-b1d4-3105e9bfb794, afaa1816-d15b-4d3b-a1aa-22d2486ac38e,
cb932f7f-d6bd-4cda-9787-670da3e0bb9a, f925d6c5-d1be-4246-88ba-91bf77dbd101,
5d19b0ab-3de3-4b90-b0cb-f57a7a263ae9, f925d6c5-d1be-4246-88ba-91bf77dbd201,
554b9fd0-6e66-4f1a-ad67-4f47503d3270, 8bdf26a2-c394-470e-a6d3-6d64c79eddd0,
cb8c9d56-3de6-4f90-bf49-d81a5241dd33, 56eaee07-ae91-4b21-9fae-a4c96c359481,
7ce8b4ef-1429-4fc9-a7fe-706aab4dde78, 65c8d904-5be1-4a7e-9b19-de7b217467fd,
2dd44b43-46f2-4c91-968f-77a00f33ef35, 49de3ece-aaed-4309-976f-d2b223099d67,
c5363bae-bd0c-45be-816f-01863cf6396d, cfe356ed-788c-49a3-bb3c-f1ee1a8012da,
6d6a02a5-813f-42fc-ba87-91a6cd6932eb, ee15fc84-a7a1-4e0b-94aa-f353828d246d,
27e06a72-1015-4784-85cb-f144e4292a90, cfe356ed-788c-49a3-bb3c-f1ee1a8012da,
325282a7-6154-47db-9d14-9b1a8c371955, bb7e2591-20ae-4426-b0f2-ccccd7c49a40,
5268ff2a-7dd8-4108-97c6-6feb685baaf1, 5d29f8b5-7673-4366-af67-a84138461cc6,
73a94ef0-1040-4fbd-bb3b-6aa78c341172, 6491488f-8025-44d8-8c51-a06e41564232,
c5458e4a-02ee-4e2c-a927-5c96df19fb68, 6d89302b-8d8f-4df3-924c-8776212ee7a5,
7d2f9c8b-8138-411c-b03d-aad88706fa45, b2177e1a-9077-4b18-9394-1c30187c0806,
f72a7650-3e7c-46aa-991e-5612b2bbf74c, 6d9e8916-8ad2-410b-a349-f17c3c404ae8,
74f348fd-d46b-4419-b5f6-13db825d5465, 6c5ddecb-e972-46d2-8d0b-43b03a6c01fd,
e06974e6-4d6c-4db0-bc75-da85671956a8, f82bad35-33ae-46b8-93d0-4ffbeb9a2bed,
