intervention_id, intervention_catalogue_id,status
d09b9c4a-e374-4121-a522-5718bacd676a, a709ccfb-744a-4185-8d04-6416db13bbba,
5a565eac-b3fc-4f10-b632-2b7f51a69c4f, 8e270494-e630-4b52-8733-40e1129f392d,
e0068b8f-141e-4d3f-893d-3b82e8bb881e, 8e270494-e630-4b52-8733-40e1129f392d,
e9723963-5fad-4b54-bc0b-36b847849b09, 8e270494-e630-4b52-8733-40e1129f392d,
5636832f-a914-44da-9d67-a1236431835a, 8e270494-e630-4b52-8733-40e1129f392d,
208d5b21-0102-4bc6-8615-a0f094692543, 8e270494-e630-4b52-8733-40e1129f392d,
38ee64ab-3bf2-4f05-81ff-ce1ca01adeeb, 8e270494-e630-4b52-8733-40e1129f392d,
3c810c89-9e17-45c3-983f-b8c617cc6514, 8e270494-e630-4b52-8733-40e1129f392d,
7628eca5-b5d0-4ba9-9745-1d9fc6d68f22, 8e270494-e630-4b52-8733-40e1129f392d,
c16bc7e1-9f38-4b10-bfe8-73ea3637cd55, 8e270494-e630-4b52-8733-40e1129f392d,
d81acbce-dab6-4028-8058-7fbf526f0b58, 8e270494-e630-4b52-8733-40e1129f392d,
9d2dcb0a-3824-4bb2-bd31-929bee6a2ac1, 8e270494-e630-4b52-8733-40e1129f392d,
ae4ab8bd-18a4-4956-ab77-d3f7a57cb96c, 8e270494-e630-4b52-8733-40e1129f392d,
b8dc115c-77dc-45ec-9d78-d8d90c3c5494, 8e270494-e630-4b52-8733-40e1129f392d,
aa246017-323e-4552-b682-c988b1c73703, 8e270494-e630-4b52-8733-40e1129f392d,
15f2e798-8cf2-40e8-aa05-5f878a1944d6, 8e270494-e630-4b52-8733-40e1129f392d,
94bf0179-a42f-4b8f-9a4e-3aa20675d59d, 8e270494-e630-4b52-8733-40e1129f392d,
93a0dd39-68d2-4982-af93-efd86b72acf1, 8e270494-e630-4b52-8733-40e1129f392d,
441a694e-f323-4110-8fbb-d59f51c298a8, 8e270494-e630-4b52-8733-40e1129f392d,
265ee73e-3ef0-4648-b940-3528b9cd8a07, 8e270494-e630-4b52-8733-40e1129f392d,
4cd77c6b-4f8f-4488-ae4b-5363f9e13c9b, 8e270494-e630-4b52-8733-40e1129f392d,
d321b6a2-baf3-48d9-8330-b85770a4c860, 8e270494-e630-4b52-8733-40e1129f392d,
8ed2fd38-6bb6-4436-8d0b-99e93a96bc41, 8e270494-e630-4b52-8733-40e1129f392d,
bc235f7f-8963-4491-af8d-b13e0a713064, 8e270494-e630-4b52-8733-40e1129f392d,
eb564d25-58cd-4178-ac8d-225daf363278, 8e270494-e630-4b52-8733-40e1129f392d,
db7413ab-154b-4af4-94bc-77c6eb9b0bf8, 8e270494-e630-4b52-8733-40e1129f392d,
90fd86f9-b0f4-496f-8082-9a44431b1f27, 8e270494-e630-4b52-8733-40e1129f392d,
44da2888-c658-4cf4-a44b-f42e3eb36a03, 8e270494-e630-4b52-8733-40e1129f392d,
5221ca4e-a20f-4773-955e-706437c1e268, 8e270494-e630-4b52-8733-40e1129f392d,
8c5df01e-cb83-4fa1-802f-1a6ef79c8945, 8e270494-e630-4b52-8733-40e1129f392d,
5712ef65-a131-4701-a005-20f4103eeca3, 8e270494-e630-4b52-8733-40e1129f392d,
849ac3b6-2c42-42c4-a514-d1e6784d394d, 8e270494-e630-4b52-8733-40e1129f392d,
01d0aea5-68f4-433e-91ea-7b38777d07b9, 8e270494-e630-4b52-8733-40e1129f392d,
61d71702-8426-4475-93f5-299bec46604f, 8e270494-e630-4b52-8733-40e1129f392d,
8bd0dbee-2306-45b7-bb47-21f55e2a64b4, 8e270494-e630-4b52-8733-40e1129f392d,
3cd41117-57db-456e-ab80-76ba19a701f0, 8e270494-e630-4b52-8733-40e1129f392d,
bfeb9cd3-3213-4013-8b80-840eee6b51fd, 8e270494-e630-4b52-8733-40e1129f392d,
4aa67eaf-8626-434f-b81e-b8a9471820f8, 8e270494-e630-4b52-8733-40e1129f392d,
c985a51a-a0aa-4f39-890c-8d67e1ed93e6, 8e270494-e630-4b52-8733-40e1129f392d,
99ea5941-f5bc-4c94-b3a5-0393dc83179c, 8e270494-e630-4b52-8733-40e1129f392d,
c5936291-20c8-47ad-b24b-f92e81b1674b, 8e270494-e630-4b52-8733-40e1129f392d,
2c69e5ca-c5ef-43bd-a5fc-cc63ff0a4626, 8e270494-e630-4b52-8733-40e1129f392d,
2c330e23-2c35-4863-94b3-a7eca46e0f92, 8e270494-e630-4b52-8733-40e1129f392d,
a8783da4-1834-4698-b4bd-439b417e3ed6, 8e270494-e630-4b52-8733-40e1129f392d,
5ebc3f85-74af-4969-b5a7-d37728c9e373, 8e270494-e630-4b52-8733-40e1129f392d,
cc95e028-b3a3-4751-8d4c-14036f3b36f8, 8e270494-e630-4b52-8733-40e1129f392d,
e91c38ef-50af-40e7-bff0-b86d1157ce77, 8e270494-e630-4b52-8733-40e1129f392d,
33b04fd7-f8bd-49e1-b6ef-4ba0f464fce4, 8e270494-e630-4b52-8733-40e1129f392d,
6284295f-6735-4a4a-800b-3e7da2597813, 8e270494-e630-4b52-8733-40e1129f392d,
a9b7b05c-ce0e-46ca-8694-27eced8c84bf, 8e270494-e630-4b52-8733-40e1129f392d,
e0854498-4ca9-4838-b629-897e32e24fd9, 8e270494-e630-4b52-8733-40e1129f392d,
a608d2da-c4f9-471b-b70b-d3371ac6aed0, 8e270494-e630-4b52-8733-40e1129f392d,
6048f666-7d71-4667-a71e-69a7bf40a85e, 8e270494-e630-4b52-8733-40e1129f392d,
1d57ca79-2d3b-4461-8d4d-aa23896a8388, 8e270494-e630-4b52-8733-40e1129f392d,
071831af-c0cd-4860-aee7-a53934f0a78b, 8e270494-e630-4b52-8733-40e1129f392d,
e59c4125-35f4-4760-9eb5-394127a019aa, 8e270494-e630-4b52-8733-40e1129f392d,
f803445f-326c-4ef8-aee2-f7716d417832, 8e270494-e630-4b52-8733-40e1129f392d,
15237ae5-a017-4de6-a033-abf350f14d99, 8e270494-e630-4b52-8733-40e1129f392d,
3ccb511b-89b2-42f7-803b-304f54d85a24, 8e270494-e630-4b52-8733-40e1129f392d,
179e1efc-ad7a-4069-b0ae-96484bc0ea22, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
24af69f4-eb7b-4847-a4bb-e26c30253c29, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
bea2a22c-a02f-429b-ac4c-8e3849dbd59a, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
58ad428e-2922-405c-a9fb-ac072681ec86, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
2d8816ea-2256-4c03-b8b4-b5123355aabe, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
c13c3cd9-b5a5-4a17-b158-9921fde750f6, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
49921343-519b-4f69-9d0e-6c6330748e7c, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
f58e3b05-36ed-41b7-80cd-eea79778acc9, c7af63b6-e46c-4d6b-94ab-47f3107a2f82,
